36
321  0    105  
322  1    100  
323  2    102  
323  2    102  
324  3    101  
325  4    104  
326  5    103  
327  0    101  
321  0    105  
322  1    100  
323  2    102  
324  3    101  
325  4    104  
326  5    103  
327  0    101  
321  0    105  
322  1    100  
323  2    102  
324  3    101  
325  4    104  
326  5    103  
327  0    101  
321  0    105  
322  1    100  
323  2    102  
324  3    101  
325  4    104  
326  5    103  
327  0    101  
321  0    105  
322  1    100  
323  2    102  
324  3    101  
325  4    104  
326  5    103  
327  0    101  
