18
100  Intel_Core_i5-9400       11715.8   
101  AMD_Athlon_3000G         3021.84   
102  AMD_A6-9500              2073.6    
103  Intel_Core_i5-9400F      8637.84   
104  AMD_Ryzen_7_3700X        19396.8   
105  Intel_Core_i7-9700K      18000     
100  Intel_Core_i5-9400       9763.2    
101  AMD_Athlon_3000G         2518.2    
102  AMD_A6-9500              1728      
103  Intel_Core_i5-9400F      7198.2    
104  AMD_Ryzen_7_3700X        16164     
105  Intel_Core_i7-9700K      18000     
100  Intel_Core_i5-9400       8136      
101  AMD_Athlon_3000G         2098.5    
102  AMD_A6-9500              1440      
103  Intel_Core_i5-9400F      5998.5    
104  AMD_Ryzen_7_3700X        13470     
105  Intel_Core_i7-9700K      18000     
